name,position,gsis_id
Hollywood Brown,WR,00-0035662
Chig Okonkwo,TE,00-0037809
Gabe Davis,WR,00-0036196
Jeff Wilson Jr.,RB,00-0034115
Steve Johnson,WR,00-0026364
Benjamin Watson,TE,00-0022943
Joshua Cribbs,WR,00-0023176
