player,position,team,prev_team,event_type,mechanism,adp,new_play_caller,play_caller,new_qb,qb,arrivals,departures,evidence,confidence,notes
Trey McBride,TE,ARI,ARI,context_only,unknown,28.7,1,Mike LaFleur,1,(unsettled),,,derived,high,
Breece Hall,RB,NYJ,NYJ,context_only,unknown,30.3,1,Frank Reich,1,(unsettled),,,derived,high,
Brock Bowers,TE,LV,LV,context_only,unknown,35.7,1,Klint Kubiak,1,Fernando Mendoza,,,derived,high,
Terry McLaurin,WR,WAS,WAS,room_change,unknown,36.2,1,David Blough,1,Jayden Daniels,Antonio Williams,Deebo Samuel Sr.,derived,high,
Ladd McConkey,WR,LAC,LAC,room_change,unknown,36.7,1,Mike McDaniel,0,Justin Herbert,,Keenan Allen,derived,high,
Cam Skattebo,RB,NYG,NYG,room_change,unknown,37.7,1,Matt Nagy,0,Jaxson Dart,,Devin Singletary,derived,high,
Travis Etienne Jr.,RB,NO,JAX,team_change,unknown,39.9,0,Kellen Moore,0,Tyler Shough,,,derived,high,
Jaylen Waddle,WR,DEN,MIA,team_change,trade,40.8,1,Davis Webb,0,Bo Nix,,,derived+web,high,"DEN sent 2026 1st (#30), 3rd (#94), 4th (#130); got Waddle + a 2026 4th (#111) [Broncos.com/ESPN]"
Malik Nabers,WR,NYG,NYG,room_change,unknown,43.1,1,Matt Nagy,0,Jaxson Dart,,Wan'Dale Robinson,derived,high,
Emeka Egbuka,WR,TB,TB,room_change,unknown,45.5,1,Zac Robinson,0,Baker Mayfield,,Mike Evans,derived,high,
Luther Burden III,WR,CHI,CHI,room_change,unknown,45.8,0,Ben Johnson,0,Caleb Williams,,DJ Moore,derived,high,
Bucky Irving,RB,TB,TB,room_change,unknown,46.6,1,Zac Robinson,0,Baker Mayfield,,Rachaad White,derived,high,
Joe Burrow,QB,CIN,CIN,room_change,unknown,46.9,0,Zac Taylor,0,Joe Burrow,,Jake Browning,derived,high,
Jameson Williams,WR,DET,DET,context_only,unknown,48.5,1,Drew Petzing,0,Jared Goff,,,derived,high,
Mike Evans,WR,SF,TB,team_change,unknown,49.6,0,Kyle Shanahan,0,Brock Purdy,Brandon Aiyuk,Jauan Jennings,derived,high,
Quinshon Judkins,RB,CLE,CLE,context_only,unknown,49.7,1,Todd Monken,1,(unsettled),,,derived,high,
Rome Odunze,WR,CHI,CHI,room_change,unknown,54.0,0,Ben Johnson,0,Caleb Williams,,DJ Moore,derived,high,
Lamar Jackson,QB,BAL,BAL,context_only,unknown,55.8,1,Declan Doyle,0,Lamar Jackson,,,derived,high,
DK Metcalf,WR,PIT,PIT,room_change,unknown,56.2,1,Mike McCarthy,1,(unsettled),"Germie Bernard, Michael Pittman Jr.",,derived,high,
David Montgomery,RB,HOU,DET,team_change,trade,56.2,0,Nick Caley,0,C.J. Stroud,,Nick Chubb,derived+web,high,HOU sent G Juice Scruggs + a 2026 4th + a 2027 7th [CBS trade tracker]
Alec Pierce,WR,IND,IND,room_change,unknown,59.9,0,Shane Steichen,0,Daniel Jones,,"Adonai Mitchell, Michael Pittman Jr.",derived,high,
Christian Watson,WR,GB,GB,room_change,unknown,59.9,0,Matt LaFleur,0,Jordan Love,,Romeo Doubs,derived,high,
Bhayshul Tuten,RB,JAX,JAX,room_change,unknown,60.2,0,Liam Coen,0,Trevor Lawrence,Chris Rodriguez Jr.,Travis Etienne Jr.,derived,high,
Carnell Tate,WR,TEN,,new_to_league,draft,62.6,1,Brian Daboll,0,Cam Ward,Wan'Dale Robinson,,derived,high,
Marvin Harrison Jr.,WR,ARI,ARI,context_only,unknown,64.4,1,Mike LaFleur,1,(unsettled),,,derived,high,
DJ Moore,WR,BUF,CHI,team_change,unknown,64.9,0,Joe Brady,0,Josh Allen,,,derived,high,
Jaylen Warren,RB,PIT,PIT,room_change,unknown,64.9,1,Mike McCarthy,1,(unsettled),Rico Dowdle,,derived,high,
Harold Fannin Jr.,TE,CLE,CLE,context_only,unknown,68.9,1,Todd Monken,1,(unsettled),,,derived,high,
Michael Pittman Jr.,WR,PIT,IND,team_change,trade,70.9,1,Mike McCarthy,1,(unsettled),Germie Bernard,,derived+web,high,PIT sent a 6th and got a 7th back; leaves a WR hole in IND [CBS trade tracker]
Tony Pollard,RB,TEN,TEN,context_only,unknown,71.2,1,Brian Daboll,0,Cam Ward,,,derived,high,
Courtland Sutton,WR,DEN,DEN,room_change,unknown,71.9,1,Davis Webb,0,Bo Nix,Jaylen Waddle,,derived,high,
Jadarian Price,RB,SEA,,new_to_league,draft,72.8,1,Brian Fleury,0,Sam Darnold,,Kenneth Walker III,derived,high,
Sam LaPorta,TE,DET,DET,context_only,unknown,72.9,1,Drew Petzing,0,Jared Goff,,,derived,high,
Chris Godwin Jr.,WR,TB,TB,room_change,unknown,78.7,1,Zac Robinson,0,Baker Mayfield,,Mike Evans,derived,high,
Rico Dowdle,RB,PIT,CAR,team_change,unknown,78.8,1,Mike McCarthy,1,(unsettled),,,derived,high,
Chuba Hubbard,RB,CAR,CAR,room_change,unknown,79.5,0,Dave Canales,0,Bryce Young,Jonathon Brooks,Rico Dowdle,derived,high,
Justin Herbert,QB,LAC,LAC,context_only,unknown,80.1,1,Mike McDaniel,0,Justin Herbert,,,derived,high,
Michael Wilson,WR,ARI,ARI,context_only,unknown,82.6,1,Mike LaFleur,1,(unsettled),,,derived,high,
Jordyn Tyson,WR,NO,,new_to_league,draft,83.8,0,Kellen Moore,0,Tyler Shough,,,derived,high,
Jayden Reed,WR,GB,GB,room_change,unknown,84.9,0,Matt LaFleur,0,Jordan Love,,Romeo Doubs,derived,high,
Kyle Pitts Sr.,TE,ATL,ATL,context_only,unknown,85.2,1,Kevin Stefanski,1,(unsettled),,,derived,high,
Josh Downs,WR,IND,IND,room_change,unknown,86.4,0,Shane Steichen,0,Daniel Jones,,"Adonai Mitchell, Michael Pittman Jr.",derived,high,
Jayden Daniels,QB,WAS,WAS,room_change,unknown,86.9,1,David Blough,1,Jayden Daniels,,Marcus Mariota,derived,high,
Wan'Dale Robinson,WR,TEN,NYG,team_change,free_agent,89.0,1,Brian Daboll,0,Cam Ward,Carnell Tate,,derived+web,high,4yr/$78M; TEN slot/target hog [NBC/CBS]
RJ Harvey,RB,DEN,DEN,room_change,unknown,90.3,1,Davis Webb,0,Bo Nix,Jonah Coleman,,derived,high,
Aaron Jones Sr.,RB,MIN,MIN,context_only,unknown,91.9,0,Kevin O'Connell,1,Kyler Murray,,,derived,high,
Jordan Addison,WR,MIN,MIN,room_change,unknown,92.6,0,Kevin O'Connell,1,Kyler Murray,Jauan Jennings,Jalen Nailor,derived,high,
Jared Goff,QB,DET,DET,context_only,unknown,94.2,1,Drew Petzing,0,Jared Goff,,,derived,high,
J.K. Dobbins,RB,DEN,DEN,room_change,unknown,94.4,1,Davis Webb,0,Bo Nix,Jonah Coleman,,derived,high,
Jalen Hurts,QB,PHI,PHI,context_only,unknown,95.6,1,Sean Mannion,0,Jalen Hurts,,,derived,high,
Quentin Johnston,WR,LAC,LAC,room_change,unknown,97.1,1,Mike McDaniel,0,Justin Herbert,,Keenan Allen,derived,high,
Ricky Pearsall,WR,SF,SF,room_change,unknown,100.4,0,Kyle Shanahan,0,Brock Purdy,"Brandon Aiyuk, Mike Evans",Jauan Jennings,derived,high,
Rachaad White,RB,WAS,TB,team_change,unknown,101.1,1,David Blough,1,Jayden Daniels,,Chris Rodriguez Jr.,derived,high,
Brock Purdy,QB,SF,SF,room_change,unknown,101.2,0,Kyle Shanahan,0,Brock Purdy,,Mac Jones,derived,high,
Khalil Shakir,WR,BUF,BUF,room_change,unknown,102.1,0,Joe Brady,0,Josh Allen,DJ Moore,,derived,high,
Romeo Doubs,WR,NE,GB,team_change,unknown,103.8,0,Josh McDaniels,0,Drake Maye,A.J. Brown,,derived,high,
Makai Lemon,WR,PHI,,new_to_league,draft,106.3,1,Sean Mannion,0,Jalen Hurts,,A.J. Brown,derived,high,
Matthew Golden,WR,GB,GB,room_change,unknown,112.5,0,Matt LaFleur,0,Jordan Love,,Romeo Doubs,derived,high,
Bo Nix,QB,DEN,DEN,context_only,unknown,118.4,1,Davis Webb,0,Bo Nix,,,derived,high,
KC Concepcion,WR,CLE,,new_to_league,draft,120.1,1,Todd Monken,1,(unsettled),Denzel Boston,,derived,high,
Jaxson Dart,QB,NYG,NYG,room_change,unknown,121.3,1,Matt Nagy,0,Jaxson Dart,,Russell Wilson,derived,high,
Jayden Higgins,WR,HOU,HOU,room_change,unknown,122.5,0,Nick Caley,0,C.J. Stroud,Tank Dell,,derived,high,
Jacory Croskey-Merritt,RB,WAS,WAS,room_change,unknown,122.9,1,David Blough,1,Jayden Daniels,Rachaad White,Chris Rodriguez Jr.,derived,high,
Jordan Mason,RB,MIN,MIN,context_only,unknown,125.8,0,Kevin O'Connell,1,Kyler Murray,,,derived,high,
Jonathon Brooks,RB,CAR,,new_to_league,draft,127.3,0,Dave Canales,0,Bryce Young,,Rico Dowdle,derived,high,
Dallas Goedert,TE,PHI,PHI,context_only,unknown,127.4,1,Sean Mannion,0,Jalen Hurts,,,derived,high,
Tyjae Spears,RB,TEN,TEN,context_only,unknown,128.9,1,Brian Daboll,0,Cam Ward,,,derived,high,
