name,pos,team,adp,mean,q10,q90,upside_before,upside_after,upside_ratio,floor_before,floor_after,floor_ratio,durability_before,durability_after,durability_ratio,tail_risk_before,tail_risk_after,tail_risk_ratio,role_share,role_delta,td_regression
Jaxson Dart,QB,NYG,121.3,232.7124,111.9186,342.0566,-0.0225,-0.3846,1.4699,0.0679,0.3846,0.4809,-0.5985,-0.0769,13.2704,-0.0904,-0.3846,0.9889,1.0,0.2782,0.4543
Jayden Higgins,WR,HOU,122.5,116.4923,0.0,212.4998,-0.03,-0.1795,1.8242,-0.1071,-0.1795,0.0,1.9035,0.4872,13.9554,0.0772,0.0769,1.8242,0.2822,0.0623,0.2471
Jacory Croskey-Merritt,RB,WAS,122.9,99.6715,0.0,206.9323,-0.0471,-0.2759,2.0761,-0.088,-0.1034,0.0,1.6216,0.4138,13.3609,0.0409,-0.2759,2.0761,0.4777,0.0366,0.2329
Jordan Mason,RB,MIN,125.8,85.6007,0.0,193.0423,0.0631,0.1724,2.2551,-0.0452,-0.0862,0.0,1.1762,0.069,12.7408,0.1083,0.1724,2.2551,0.5118,0.0861,0.145
Jonathon Brooks,RB,CAR,127.3,106.7328,23.1985,201.9628,-0.1965,-0.4483,1.8922,0.1079,0.4138,0.2174,-0.4708,-0.2414,11.3561,-0.3044,-0.4483,1.6749,0.5008,,
Dallas Goedert,TE,PHI,127.4,132.0719,48.5977,215.2729,-0.0871,-0.1818,1.63,0.098,0.1818,0.368,-0.3039,0.0,12.2333,-0.1851,-0.1818,1.262,1.0,0.1411,0.5333
Tyjae Spears,RB,TEN,128.9,81.5568,0.0,182.8224,0.0299,0.069,2.2417,-0.0329,-0.0862,0.0,-0.1213,-0.1379,11.3932,0.0628,0.069,2.2417,0.4157,0.0461,-0.0462
Baker Mayfield,QB,TB,129.3,214.397,69.4957,331.6386,-0.0451,-0.2308,1.5468,-0.0197,0.1538,0.3241,0.9086,0.2308,13.8437,-0.0255,-0.1538,1.2227,1.0,0.0105,-0.0047
Mark Andrews,TE,BAL,129.6,113.5099,0.0,200.8217,-0.0392,-0.0909,1.7692,-0.1686,-0.2727,0.0,1.1474,0.2727,13.2458,0.1294,0.0909,1.7692,1.0,0.4309,0.1553
Jauan Jennings,WR,MIN,130.5,103.2645,0.0,196.696,-0.0009,0.2564,1.9048,-0.0645,-0.1795,0.0,0.7739,0.0256,12.6365,0.0635,0.3077,1.9048,0.237,-0.156,0.3067
Rashid Shaheed,WR,SEA,130.7,116.6021,0.0,209.3675,-0.0581,-0.3333,1.7956,-0.1075,-0.1795,0.0,1.5718,0.3333,13.6253,0.0494,-0.0513,1.7956,0.2474,0.0606,0.0044
Jordan Love,QB,GB,132.1,204.3529,59.3232,320.6338,-0.0776,-0.0769,1.569,-0.0156,0.0,0.2903,0.8921,0.0769,13.3151,-0.062,-0.1538,1.2787,1.0,0.167,-0.048
Denzel Boston,WR,CLE,132.7,99.1554,21.0321,189.069,-0.0149,0.2564,1.9068,0.1609,0.2821,0.2121,-0.6653,-0.2692,11.1384,-0.1758,-0.2051,1.6947,0.3054,,
Omar Cooper Jr.,WR,NYJ,133.3,93.2435,18.6668,178.5956,-0.0294,0.3026,1.9154,0.1681,0.1974,0.2002,-0.5807,-0.2632,11.1384,-0.1975,-0.1711,1.7152,0.2665,,
Tre Tucker,WR,LV,135.2,114.3491,0.0,206.0258,-0.0608,-0.3514,1.8017,-0.1002,-0.1757,0.0,1.8011,0.4595,13.8223,0.0395,-0.0541,1.8017,0.5163,0.0733,0.1694
Woody Marks,RB,HOU,135.2,82.7693,0.0,183.7148,0.0137,-0.0345,2.2196,-0.0366,-0.0862,0.0,1.3604,0.1379,12.89,0.0503,-0.0345,2.2196,0.4218,-0.0893,-0.035
Jalen Nailor,WR,LV,135.8,107.113,0.0,198.536,-0.0372,-0.0972,1.8535,-0.0769,-0.1667,0.0,1.7474,0.375,13.6651,0.0397,0.125,1.8535,0.4837,0.2646,0.0824
Isaiah Likely,TE,NYG,136.9,95.8509,0.0,191.3521,0.1012,0.2727,1.9964,-0.0721,-0.2273,0.0,-0.5068,-0.1818,11.1741,0.1733,0.2727,1.9964,1.0,0.732,-0.0167
Jerry Jeudy,WR,CLE,137.7,116.2484,0.0,210.836,-0.0414,-0.3143,1.8137,-0.1064,-0.1714,0.0,1.6277,0.4,13.6762,0.0649,-0.0286,1.8137,0.358,-0.0415,0.0118
Dalton Kincaid,TE,BUF,138.2,89.8905,0.0,180.1527,0.0797,0.3636,2.0041,-0.0395,-0.1818,0.0,-0.4225,-0.2727,11.1174,0.1192,0.3636,2.0041,1.0,0.5268,0.2667
Jaydon Blue,RB,DAL,140.0,38.6638,1.7838,93.8534,0.0059,0.4464,2.4274,0.1436,0.375,0.0461,-3.8789,-0.4643,7.1033,-0.1377,0.3036,2.3813,0.1806,0.1267,0.032
Jalen McMillan,WR,TB,142.0,104.1345,23.6721,194.4102,-0.0354,-0.0441,1.8669,0.16,0.3382,0.2273,-0.7366,-0.2647,11.1384,-0.1955,-0.3971,1.6396,0.2826,0.2325,-0.08
Antonio Williams,WR,WAS,145.9,99.0212,22.9446,185.552,-0.0484,-0.0303,1.8739,0.1809,0.3939,0.2317,-0.6634,-0.2576,11.1384,-0.2293,-0.3636,1.6421,0.4454,,
Sam Darnold,QB,SEA,146.1,215.2578,67.9437,346.7617,0.0236,0.1538,1.6109,-0.0314,0.1538,0.3156,1.0242,0.3077,14.0032,0.055,-0.0769,1.2953,1.0,0.0004,-0.0424
Hunter Henry,TE,NE,148.4,105.7895,0.0,192.7512,-0.0243,-0.0909,1.822,-0.1264,-0.1364,0.0,1.2656,0.1818,13.1815,0.1021,-0.0909,1.822,1.0,0.2477,0.1529
C.J. Stroud,QB,HOU,148.7,199.7272,52.2252,317.371,-0.0828,-0.0769,1.589,-0.0269,-0.2308,0.2615,0.9429,-0.1538,13.13,-0.0559,0.0769,1.3275,1.0,0.236,0.0029
Kyler Murray,QB,MIN,149.0,127.3167,0.0,267.4585,0.035,0.3077,2.1007,-0.0149,-0.3846,0.0,-0.8445,-0.3846,7.6508,0.0499,0.3077,2.1007,1.0,0.7452,0.104
Brandon Aiyuk,WR,SF,149.1,,,,,,,,,,,,,,,,,,
Tyler Shough,QB,NO,151.7,186.3572,42.838,312.7351,-0.0664,0.2083,1.6781,-0.008,-0.2083,0.2299,-0.0922,-0.2083,11.4133,-0.0584,0.2083,1.4483,1.0,0.3856,0.12
Tyrone Tracy Jr.,RB,NYG,151.8,81.8866,0.0,180.669,-0.0039,-0.0741,2.2063,-0.0339,-0.0741,0.0,0.7789,-0.037,12.2974,0.0301,-0.0741,2.2063,0.4085,0.0037,0.032
