name,pos,team,adp,mean,q10,q90,upside_before,upside_after,upside_ratio,floor_before,floor_after,floor_ratio,durability_before,durability_after,durability_ratio,tail_risk_before,tail_risk_after,tail_risk_ratio,role_share,role_delta,td_regression
Bijan Robinson,RB,ATL,1.6,265.0534,124.5695,412.7662,0.2426,-0.4,1.5573,-0.1208,0.3333,0.47,-0.3635,0.3333,13.4281,0.3634,-0.3333,1.0873,0.7758,0.031,0.24
Jahmyr Gibbs,RB,DET,1.8,265.167,128.8114,408.691,0.2271,-0.4688,1.5413,-0.1053,0.4062,0.4858,-0.3532,0.4062,13.4397,0.3324,-0.4688,1.0555,0.7881,0.1032,0.5153
Puka Nacua,WR,LAR,2.7,264.106,127.9428,380.3011,0.1613,-0.375,1.44,-0.099,0.175,0.4844,-0.7284,0.075,13.4366,0.2603,-0.375,0.9555,0.6297,0.1051,0.4675
Ja'Marr Chase,WR,CIN,3.9,248.3782,120.0618,355.9178,0.093,-0.4762,1.433,-0.0493,0.1429,0.4834,-0.6076,0.0,13.3322,0.1423,-0.4286,0.9496,0.5971,0.1184,0.225
Christian McCaffrey,RB,SF,5.1,235.5861,98.5407,375.6607,0.1358,-0.1176,1.5946,-0.0829,-0.0588,0.4183,-0.4909,-0.0588,12.935,0.2187,0.0,1.1763,1.0,0.1303,0.1765
Jaxon Smith-Njigba,WR,SEA,5.9,257.9518,132.0584,370.0636,0.132,-0.4318,1.4346,-0.0516,0.4773,0.5119,-0.1834,0.4318,13.8935,0.1836,-0.4773,0.9227,0.5474,-0.0064,0.3882
Amon-Ra St. Brown,WR,DET,7.2,241.7415,119.1714,353.3155,0.0957,-0.3478,1.4615,-0.0183,0.3043,0.493,-0.1294,0.2609,13.7155,0.114,-0.3043,0.9686,0.4839,0.0173,0.2282
Jonathan Taylor,RB,IND,7.7,220.8169,92.7332,348.9212,0.0492,-0.25,1.5801,-0.0363,0.0278,0.42,-0.0738,0.0833,13.1688,0.0855,-0.1389,1.1602,1.0,0.127,0.6165
De'Von Achane,RB,MIA,9.5,223.6211,101.1355,359.9659,0.0924,-0.0526,1.6097,-0.0125,0.2105,0.4523,-0.3152,0.0,12.9623,0.105,-0.2105,1.1575,1.0,0.2406,0.3725
Justin Jefferson,WR,MIN,10.3,213.8036,108.5148,313.159,-0.0101,-0.3125,1.4647,0.0864,0.4375,0.5075,0.2431,0.2292,13.688,-0.0965,-0.3542,0.9572,0.4907,0.0524,-0.1059
CeeDee Lamb,WR,DAL,10.6,189.0967,70.2844,295.9233,-0.0062,0.12,1.5649,0.0303,-0.16,0.3717,-1.3026,-0.24,11.7887,-0.0364,0.16,1.1932,0.3994,0.1283,-0.0308
Ashton Jeanty,RB,LV,11.9,211.5963,105.8749,334.3425,0.004,-0.325,1.5801,0.0721,0.475,0.5004,0.4509,0.475,13.5791,-0.0681,-0.425,1.0797,0.7204,-0.1254,0.2235
Drake London,WR,ATL,12.8,189.3301,66.6756,302.2239,0.0261,0.1731,1.5963,0.01,-0.1731,0.3522,-1.6051,-0.2885,11.4895,0.0161,0.1731,1.2441,0.7514,0.2265,0.3167
A.J. Brown,WR,NE,13.6,189.162,73.1962,295.9055,-0.0065,0.037,1.5643,0.0453,-0.0741,0.3869,-0.4586,-0.1481,12.6336,-0.0519,0.0741,1.1773,0.6045,0.1746,0.2933
James Cook III,RB,BUF,13.7,203.1829,83.4474,327.5359,-0.0052,-0.0476,1.612,0.008,-0.0952,0.4107,0.2052,0.1905,13.229,-0.0132,0.0476,1.2013,0.7877,0.134,0.3929
Derrick Henry,RB,BAL,16.0,198.0602,81.3001,323.3174,-0.0098,0.0682,1.6324,0.0234,-0.1136,0.4105,-0.2514,-0.1136,12.7088,-0.0332,0.0682,1.2219,1.0,0.3413,0.4729
Chase Brown,RB,CIN,16.3,207.3775,95.7127,326.1957,-0.0237,-0.3913,1.573,0.0461,0.3478,0.4615,0.1946,0.2609,13.2705,-0.0698,-0.3478,1.1114,1.0,0.2302,0.2447
Omarion Hampton,RB,LAC,17.4,139.8999,29.5217,261.0361,-0.0607,0.3958,1.8659,0.0007,-0.3542,0.211,-3.0409,-0.4375,9.1976,-0.0614,0.3958,1.6549,0.7131,0.2751,0.1644
George Pickens,WR,DAL,18.5,203.0594,93.8465,300.6395,-0.0361,-0.2679,1.4805,0.0757,0.0536,0.4622,0.5304,0.3393,13.8215,-0.1118,-0.1964,1.0184,0.4289,0.035,0.2471
Saquon Barkley,RB,PHI,19.8,190.2814,74.3716,312.645,-0.0372,0.08,1.6431,0.0274,-0.16,0.3909,-0.3424,-0.24,12.5213,-0.0646,0.12,1.2522,0.7555,0.0098,0.1325
Chris Olave,WR,NO,20.9,201.1629,94.7373,297.6299,-0.0445,-0.3103,1.4795,0.0906,0.1034,0.4709,0.0954,0.1034,13.3594,-0.1351,-0.2414,1.0086,0.6258,0.1463,0.375
Kenneth Walker III,RB,KC,22.5,194.9073,85.4303,310.3141,-0.0655,-0.2885,1.5921,0.0608,0.2115,0.4383,0.3999,0.3269,13.321,-0.1263,-0.3269,1.1538,1.0,0.4514,0.0188
Jeremiyah Love,RB,ARI,22.6,163.6918,37.4505,299.513,0.0195,0.2593,1.8297,-0.0538,-0.2593,0.2288,-1.1776,-0.3704,11.3561,0.0733,0.2593,1.601,0.6831,,
Nico Collins,WR,HOU,23.4,189.4943,81.9747,286.691,-0.0566,-0.15,1.5129,0.0899,0.05,0.4326,-0.3014,-0.05,12.7955,-0.1465,-0.05,1.0803,0.459,0.1161,0.2053
Zay Flowers,WR,BAL,25.6,198.8775,98.0802,296.5406,-0.0419,-0.2581,1.4911,0.1202,0.3548,0.4932,0.5534,0.3226,13.7847,-0.1621,-0.3226,0.9979,0.6798,0.0975,0.2047
Tee Higgins,WR,CIN,27.0,167.6214,72.3847,262.4509,-0.0891,0.0156,1.5657,0.1597,0.0469,0.4318,-0.0033,-0.0469,12.7805,-0.2488,-0.0469,1.1339,0.4029,0.08,0.52
Rashee Rice,WR,KC,27.3,140.233,23.7286,258.2619,0.0801,0.3939,1.8417,-0.0145,-0.2424,0.1692,-3.4597,-0.4545,8.9321,0.0946,0.2424,1.6725,0.5456,0.2769,0.23
Josh Allen,QB,BUF,27.9,264.7871,129.331,383.1904,0.1293,-0.2857,1.4472,-0.0457,0.1429,0.4884,-1.972,0.0,13.5322,0.175,-0.2857,0.9587,1.0,0.0695,0.6275
Garrett Wilson,WR,NYJ,28.2,159.6829,35.4914,272.0826,0.0181,0.1029,1.7039,-0.0242,-0.1618,0.2223,-1.5318,-0.3382,11.1384,0.0424,0.1324,1.4816,0.4563,0.2033,0.4286
DeVonta Smith,WR,PHI,28.2,192.9465,93.7628,290.6596,-0.0497,-0.2286,1.5064,0.1321,0.3143,0.486,0.4949,0.2571,13.6412,-0.1818,-0.2,1.0205,0.6211,0.2084,0.0941
Josh Jacobs,RB,GB,28.3,178.6368,66.364,298.2239,-0.0677,0.1607,1.6694,0.0435,-0.1607,0.3715,-0.6027,-0.3036,12.1165,-0.1112,0.1607,1.2979,1.0,0.3498,0.4373
Trey McBride,TE,ARI,28.7,200.0481,92.9031,308.0944,0.1571,-0.25,1.5401,-0.177,-0.0833,0.4644,-0.5471,0.25,13.5972,0.3341,0.0833,1.0757,1.0,0.1941,0.2471
Breece Hall,RB,NYJ,30.3,185.7585,76.7396,306.4544,-0.0526,0.0345,1.6497,0.0634,0.069,0.4131,0.1209,0.0,12.9285,-0.116,0.0,1.2366,1.0,0.3795,0.02
Kyren Williams,RB,LAR,32.8,188.4904,86.8462,305.76,-0.0669,-0.1724,1.6222,0.1027,0.3793,0.4607,0.4659,0.3448,13.3073,-0.1696,-0.2414,1.1614,0.6659,-0.0191,0.2729
Tetairoa McMillan,WR,CAR,33.3,187.0658,94.0398,280.8545,-0.0776,-0.2639,1.5014,0.1678,0.4306,0.5027,0.9153,0.4861,13.9775,-0.2455,-0.3194,0.9987,0.6608,0.2364,0.2353
Javonte Williams,RB,DAL,35.4,175.4657,74.5509,285.1753,-0.1274,-0.1379,1.6252,0.1065,0.2414,0.4249,0.1472,0.0,12.827,-0.2339,-0.1724,1.2004,0.8194,0.1778,0.2575
Brock Bowers,TE,LV,35.7,156.9465,49.4083,253.6224,0.0211,0.1429,1.616,-0.0911,-0.1429,0.3148,-1.6555,-0.1429,11.4698,0.1122,0.1429,1.3012,1.0,0.3802,0.2833
Terry McLaurin,WR,WAS,36.2,123.3184,25.1044,225.7657,0.0032,0.3514,1.8308,0.0744,-0.1351,0.2036,-2.5338,-0.4054,9.6158,-0.0712,0.1351,1.6272,0.5546,0.328,0.14
Ladd McConkey,WR,LAC,36.7,174.732,84.4061,266.5476,-0.1016,-0.1711,1.5255,0.188,0.2237,0.4831,0.5866,0.1447,13.4723,-0.2896,-0.1974,1.0424,0.6047,0.3144,0.1875
Cam Skattebo,RB,NYG,37.7,118.5864,17.1867,234.3637,-0.0545,0.2414,1.9763,-0.0006,-0.2414,0.1449,-3.5471,-0.4828,8.4269,-0.0539,0.2414,1.8314,0.5915,0.2701,0.415
Travis Etienne Jr.,RB,NO,39.9,184.7016,81.9541,296.3431,-0.1031,-0.3793,1.6044,0.0972,0.3448,0.4437,0.3761,0.2414,13.1706,-0.2003,-0.3448,1.1607,0.7507,0.0603,0.2659
Davante Adams,WR,LAR,40.7,155.2983,53.3503,259.0592,-0.0347,0.0,1.6681,0.1112,0.0256,0.3435,-0.9518,-0.2051,11.6556,-0.1459,-0.0256,1.3246,0.3703,0.0708,0.5429
Jaylen Waddle,WR,DEN,40.8,146.5513,0.0,258.2526,0.0252,0.1795,1.7622,-0.2041,-0.3205,0.0,0.7409,0.0513,13.2231,0.2294,0.2821,1.7622,0.5037,0.0568,0.2375
Malik Nabers,WR,NYG,43.1,150.6136,38.4316,258.598,-0.0042,0.0,1.717,0.0379,0.0256,0.2552,-1.402,-0.3077,11.1384,-0.0421,-0.0256,1.4618,0.6483,0.5244,0.3
Emeka Egbuka,WR,TB,45.5,175.8551,85.2165,268.8217,-0.0941,-0.2308,1.5287,0.1859,0.3333,0.4846,1.0411,0.4615,13.9428,-0.28,-0.2564,1.0441,0.4772,0.1494,0.1694
Luther Burden III,WR,CHI,45.8,142.4033,0.0,248.8207,-0.0058,0.0769,1.7473,-0.1908,-0.2949,0.0,0.8001,0.0513,13.223,0.1849,0.2051,1.7473,0.4926,0.2709,0.08
Bucky Irving,RB,TB,46.6,129.6224,26.8074,239.0768,-0.1324,0.1034,1.8444,0.0278,-0.1379,0.2068,-2.3604,-0.3793,9.7506,-0.1602,0.1034,1.6376,1.0,0.6303,0.104
Colston Loveland,TE,CHI,46.8,165.884,82.9838,254.0002,-0.0197,-0.4375,1.5312,0.0455,0.4375,0.5003,0.2062,-0.0625,13.5429,-0.0652,-0.4375,1.0309,1.0,0.3362,0.18
Joe Burrow,QB,CIN,46.9,162.4886,31.1475,293.5432,-0.0678,0.4375,1.8065,0.044,-0.4375,0.1917,-1.0048,-0.4375,9.2838,-0.1118,0.4375,1.6149,1.0,0.5576,-0.03
D'Andre Swift,RB,CHI,47.5,169.2623,68.5877,281.7304,-0.1186,-0.1034,1.6645,0.1057,0.1724,0.4052,0.1039,0.0,12.7068,-0.2242,-0.1379,1.2592,0.6203,0.0291,0.3125
Jameson Williams,WR,DET,48.5,182.9496,91.6832,278.2458,-0.0742,-0.3333,1.5209,0.1796,0.4615,0.5011,0.8229,0.4359,13.8261,-0.2537,-0.3846,1.0197,0.3662,0.0495,0.2988
Mike Evans,WR,SF,49.6,82.7237,0.0,184.0528,0.2391,0.4872,2.2249,0.0018,-0.2692,0.0,-3.4718,-0.4872,8.0967,0.2373,0.4872,2.2249,0.4745,0.3325,0.15
Quinshon Judkins,RB,CLE,49.7,157.1265,56.093,267.6002,-0.1393,-0.069,1.7031,0.0943,0.069,0.357,-0.2683,-0.1724,12.1839,-0.2336,-0.069,1.3461,0.6633,0.1601,0.2029
Rome Odunze,WR,CHI,54.0,146.6683,47.9598,244.1208,-0.0721,-0.2051,1.6644,0.1225,0.1795,0.327,-0.9002,-0.2308,11.5837,-0.1945,-0.1795,1.3374,0.5074,0.2559,0.2833
Tyler Warren,TE,IND,54.3,162.6725,80.9808,253.0554,-0.0111,-0.1111,1.5556,0.0606,0.3333,0.4978,0.5341,0.4444,13.7948,-0.0717,-0.3333,1.0578,1.0,0.1962,-0.0047
Lamar Jackson,QB,BAL,55.8,221.1102,93.3867,336.576,-0.0332,0.0,1.5222,0.0532,0.0,0.4224,-1.0789,-0.2222,12.1984,-0.0864,0.0,1.0999,1.0,0.1631,0.0338
David Montgomery,RB,HOU,56.2,113.4536,0.0,237.6608,0.0389,0.1724,2.0948,-0.1299,-0.2931,0.0,1.1154,0.1379,13.0257,0.1688,0.1724,2.0948,0.5782,0.2666,0.2
DK Metcalf,WR,PIT,56.2,134.1533,0.0,243.0875,0.0267,0.2051,1.812,-0.1641,-0.2436,0.0,0.3728,-0.0769,12.6775,0.1909,0.2564,1.812,0.3582,-0.1125,0.2853
TreVeyon Henderson,RB,NE,58.0,169.3393,73.3791,275.1692,-0.1577,-0.3793,1.625,0.1335,0.3793,0.4333,0.8848,0.4828,13.4886,-0.2912,-0.3793,1.1916,0.6359,0.1864,0.2871
Dak Prescott,QB,DAL,59.7,241.0367,122.7869,355.6567,0.0285,-0.15,1.4755,0.065,0.25,0.5094,-0.5817,0.15,13.7116,-0.0365,-0.15,0.9661,1.0,0.0318,0.0329
Alec Pierce,WR,IND,59.9,142.2026,0.0,255.649,0.0439,0.1538,1.7978,-0.1901,-0.2308,0.0,0.4803,0.0513,12.9003,0.234,0.2051,1.7978,0.5161,0.1939,0.28
Christian Watson,WR,GB,59.9,104.0121,0.0,211.2203,0.1279,0.4103,2.0307,-0.0669,-0.2179,0.0,-1.8113,-0.359,10.0619,0.1948,0.4103,2.0307,0.3024,0.0642,0.468
